GET|HEAD	api/v1/auto-dialer-campaigns/{campaign}/destinations	auto-dialer-campaigns.destinations	App\Http\Controllers\AutoDialerCampaignController@getDestinations	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/{campaign}/list	auto-dialer-campaigns.list.upload	App\Http\Controllers\AutoDialerCampaignController@uploadList	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/{campaign}/list	auto-dialer-campaigns.list.get	App\Http\Controllers\AutoDialerCampaignController@getList	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
DELETE	api/v1/auto-dialer-campaigns/{campaign}/list	auto-dialer-campaigns.list.delete	App\Http\Controllers\AutoDialerCampaignController@deleteList	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/auto-dialer-campaigns/{campaign}/monitor/detail	auto-dialer-campaigns.monitor.detail	App\Http\Controllers\AutoDialerCampaignController@monitorDetail	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
PATCH	api/v1/auto-dialer-campaigns/{campaign}/pause	auto-dialer-campaigns.pause	App\Http\Controllers\AutoDialerCampaignController@pause	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/{campaign}/reset-cac	auto-dialer-campaigns.reset-cac	App\Http\Controllers\AutoDialerCampaignController@resetCac	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
POST	api/v1/auto-dialer-campaigns/{campaign}/reset-caller-id-cycle	auto-dialer-campaigns.reset-caller-id-cycle	App\Http\Controllers\AutoDialerCampaignController@resetCallerIdCycle	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
PATCH	api/v1/auto-dialer-campaigns/{campaign}/resume	auto-dialer-campaigns.resume	App\Http\Controllers\AutoDialerCampaignController@resume	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
PATCH	api/v1/auto-dialer-campaigns/{campaign}/start	auto-dialer-campaigns.start	App\Http\Controllers\AutoDialerCampaignController@start	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope
GET|HEAD	api/v1/business-hours	business-hours.index	App\Http\Controllers\Api\BusinessHoursController@index	api,Illuminate\Auth\Middleware\Authenticate:sanctum,App\Http\Middleware\EnsureTenantScope,App\Http\Middleware\RateLimitPerOrganization:api
